,title,geo_accession,source_name,organism,taxid,tissue,animal_id,pitt_id,vax_group,vax_dose,dose_group,time_after_bcg,total_mtb_cfu,log_mtb_cfu,grans_nx,protect_outcome,description
0,0NR IV pre,GSM6735570,Whole Blood,Macaca mulatta,9544,Whole Blood,0NR,13417,IV,3.70E+07,high,pre,30.0,1.491,1,protected,0NR_65
1,0NR IV d2,GSM6735571,Whole Blood,Macaca mulatta,9544,Whole Blood,0NR,13417,IV,3.70E+07,high,d2,30.0,1.491,1,protected,0NR_66
2,0NR IV wk2,GSM6735572,Whole Blood,Macaca mulatta,9544,Whole Blood,0NR,13417,IV,3.70E+07,high,wk2,30.0,1.491,1,protected,0NR_67
3,0NR IV wk12,GSM6735573,Whole Blood,Macaca mulatta,9544,Whole Blood,0NR,13417,IV,3.70E+07,high,wk12,30.0,1.491,1,protected,0NR_68
4,0TL HD-ID pre,GSM6735574,Whole Blood,Macaca mulatta,9544,Whole Blood,0TL,18117,HD-ID,2.90E+07,high,pre,2120.0,3.327,6,not_protected,0TL_113
5,0TL HD-ID d2,GSM6735575,Whole Blood,Macaca mulatta,9544,Whole Blood,0TL,18117,HD-ID,2.90E+07,high,d2,2120.0,3.327,6,not_protected,0TL_114
6,0TL HD-ID wk2,GSM6735576,Whole Blood,Macaca mulatta,9544,Whole Blood,0TL,18117,HD-ID,2.90E+07,high,wk2,2120.0,3.327,6,not_protected,0TL_115
7,0TL HD-ID wk12,GSM6735577,Whole Blood,Macaca mulatta,9544,Whole Blood,0TL,18117,HD-ID,2.90E+07,high,wk12,2120.0,3.327,6,not_protected,0TL_116
8,CZRJR AE pre,GSM6735578,Whole Blood,Macaca mulatta,9544,Whole Blood,CZRJR,13117,AE,3.70E+07,high,pre,765932.0,5.884,26,not_protected,CZRJR_57
9,CZRJR AE d2,GSM6735579,Whole Blood,Macaca mulatta,9544,Whole Blood,CZRJR,13117,AE,3.70E+07,high,d2,765932.0,5.884,26,not_protected,CZRJR_58
10,CZRJR AE wk2,GSM6735580,Whole Blood,Macaca mulatta,9544,Whole Blood,CZRJR,13117,AE,3.70E+07,high,wk2,765932.0,5.884,26,not_protected,CZRJR_59
11,CZRJR AE wk12,GSM6735581,Whole Blood,Macaca mulatta,9544,Whole Blood,CZRJR,13117,AE,3.70E+07,high,wk12,765932.0,5.884,26,not_protected,CZRJR_60
12,DF2A IV pre,GSM6735582,Whole Blood,Macaca mulatta,9544,Whole Blood,DF2A,36216,IV,5.20E+07,high,pre,0.0,0.0,0,protected,DF2A_13
13,DF2A IV d2,GSM6735583,Whole Blood,Macaca mulatta,9544,Whole Blood,DF2A,36216,IV,5.20E+07,high,d2,0.0,0.0,0,protected,DF2A_14
14,DF2A IV wk2,GSM6735584,Whole Blood,Macaca mulatta,9544,Whole Blood,DF2A,36216,IV,5.20E+07,high,wk2,0.0,0.0,0,protected,DF2A_15
15,DF2A IV wk12,GSM6735585,Whole Blood,Macaca mulatta,9544,Whole Blood,DF2A,36216,IV,5.20E+07,high,wk12,0.0,0.0,0,protected,DF2A_16
16,DF7X ID pre,GSM6735586,Whole Blood,Macaca mulatta,9544,Whole Blood,DF7X,12617,ID,3.10E+05,low,pre,860350.0,5.935,60,not_protected,DF7X_53
17,DF7X ID d2,GSM6735587,Whole Blood,Macaca mulatta,9544,Whole Blood,DF7X,12617,ID,3.10E+05,low,d2,860350.0,5.935,60,not_protected,DF7X_54
18,DF7X ID wk2,GSM6735588,Whole Blood,Macaca mulatta,9544,Whole Blood,DF7X,12617,ID,3.10E+05,low,wk2,860350.0,5.935,60,not_protected,DF7X_55
19,DF7X ID wk12,GSM6735589,Whole Blood,Macaca mulatta,9544,Whole Blood,DF7X,12617,ID,3.10E+05,low,wk12,860350.0,5.935,60,not_protected,DF7X_56
20,DF8J HD-ID pre,GSM6735590,Whole Blood,Macaca mulatta,9544,Whole Blood,DF8J,13717,HD-ID,2.90E+07,high,pre,39765.0,4.6,6,not_protected,DF8J_109
21,DF8J HD-ID d2,GSM6735591,Whole Blood,Macaca mulatta,9544,Whole Blood,DF8J,13717,HD-ID,2.90E+07,high,d2,39765.0,4.6,6,not_protected,DF8J_110
22,DF8J HD-ID wk2,GSM6735592,Whole Blood,Macaca mulatta,9544,Whole Blood,DF8J,13717,HD-ID,2.90E+07,high,wk2,39765.0,4.6,6,not_protected,DF8J_111
23,DF8J HD-ID wk12,GSM6735593,Whole Blood,Macaca mulatta,9544,Whole Blood,DF8J,13717,HD-ID,2.90E+07,high,wk12,39765.0,4.6,6,not_protected,DF8J_112
24,DF9F HD-ID pre,GSM6735594,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9F,18817,HD-ID,2.90E+07,high,pre,42860.0,4.632,23,not_protected,DF9F_141
25,DF9F HD-ID d2,GSM6735595,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9F,18817,HD-ID,2.90E+07,high,d2,42860.0,4.632,23,not_protected,DF9F_142
26,DF9F HD-ID wk2,GSM6735596,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9F,18817,HD-ID,2.90E+07,high,wk2,42860.0,4.632,23,not_protected,DF9F_143
27,DF9F HD-ID wk12,GSM6735597,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9F,18817,HD-ID,2.90E+07,high,wk12,42860.0,4.632,23,not_protected,DF9F_144
28,DF9I ID pre,GSM6735598,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9I,18917,ID,3.10E+05,low,pre,700608.0,5.845,16,not_protected,DF9I_117
29,DF9I ID d2,GSM6735599,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9I,18917,ID,3.10E+05,low,d2,700608.0,5.845,16,not_protected,DF9I_118
30,DF9I ID wk2,GSM6735600,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9I,18917,ID,3.10E+05,low,wk2,700608.0,5.845,16,not_protected,DF9I_119
31,DF9I ID wk12,GSM6735601,Whole Blood,Macaca mulatta,9544,Whole Blood,DF9I,18917,ID,3.10E+05,low,wk12,700608.0,5.845,16,not_protected,DF9I_120
32,DFB3 AE pre,GSM6735602,Whole Blood,Macaca mulatta,9544,Whole Blood,DFB3,12417,AE,3.70E+07,high,pre,71910.0,4.857,20,not_protected,DFB3_97
33,DFB3 AE d2,GSM6735603,Whole Blood,Macaca mulatta,9544,Whole Blood,DFB3,12417,AE,3.70E+07,high,d2,71910.0,4.857,20,not_protected,DFB3_98
34,DFB3 AE wk2,GSM6735604,Whole Blood,Macaca mulatta,9544,Whole Blood,DFB3,12417,AE,3.70E+07,high,wk2,71910.0,4.857,20,not_protected,DFB3_99
35,DFB3 AE wk12,GSM6735605,Whole Blood,Macaca mulatta,9544,Whole Blood,DFB3,12417,AE,3.70E+07,high,wk12,71910.0,4.857,20,not_protected,DFB3_100
